,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80
0,107,-24480,117,-24906,-24906,-24906,-24906,-24906,-25340,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25122,123,-24906,104,-24906,-24906,-24480,-24906,-24906,-24480,-24906,-24906,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24480,-24906,-24906,-24906,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
1,107,-24906,115,-24906,-25340,-24906,-24906,-25122,-25340,-24906,-24906,-24906,-24906,-23851,-24906,-24906,-24906,-25122,122,-24906,100,-27606,-25122,-24480,-24906,-24906,-24906,-24906,-24906,-24692,-25559,-25559,-24269,-24906,-24906,-25340,-24906,-25340,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25122,-26452,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-26679,-24692,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-27606,-24906,-21666,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-23645,-10977,-23036,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
2,107,-25122,116,-24906,-25340,-24906,-24906,-24906,-25340,-24692,-24906,-24269,-25122,-24692,-24906,-24906,-24906,-25340,118,-26002,92,-24906,-25340,-24480,-24906,-24906,-24906,-24692,-24059,-24269,-25122,-25340,-24480,-24906,-24906,-25340,-24906,-25559,-23237,-24906,-25122,-24906,-24906,-24906,-24906,-24906,-24906,-22440,-25559,-23645,-24906,-24906,-24906,-24906,-24906,-26002,-20916,-24269,-20549,-24480,-24906,-24906,-24906,-24906,-25122,-22244,-19833,-23237,-24906,-24906,-24906,-24906,-25340,-25340,-26002,-24906,-24906,-24906,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
3,108,-24906,114,-25122,-25122,-24906,-24906,-24906,-25340,-24906,-24906,-24480,-26002,-24906,-24906,-24906,-24906,-25340,122,-24906,91,-26226,-25122,-23851,-24906,-24906,-24906,-24906,-24692,-23440,-25779,-25340,-24059,-24692,-24906,-24906,-25122,-26002,-22440,-25340,-25122,-25122,-24906,-24906,-24906,-25122,-25559,-22637,-26452,-25559,-24480,-24906,-24906,-24906,-25122,-26679,-22835,-26908,-24906,-24269,-24906,-24906,-24906,-25122,-25340,-24480,-25340,-24906,-24906,-24906,-24906,-24906,-25340,-25779,-26679,-25559,-25340,-24906,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
4,107,-24480,115,-24906,-24906,-24906,-24906,-25340,-25340,-24692,-24906,-24692,-25559,-25122,-24906,-24906,-24906,-25340,121,-24906,71,-26226,-25122,-23645,-24906,-24906,-24906,-24906,-24692,-24059,-26002,-25559,-23440,-24906,-24906,-24906,-25122,-24906,-23851,-24906,-24906,-24692,-24906,-24906,-24906,-24906,-25122,-22440,-25122,-24906,-24906,-24906,-24906,-24906,-24906,-25122,-22050,-24906,-21477,-24480,-24906,-24906,-24906,-24906,-25122,-24480,-23237,-24269,-24906,-24906,-24906,-24906,-25340,-25340,-26679,-24906,-24906,-24906,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
5,107,-24480,116,-24906,-25340,-24906,-24906,-24906,-25340,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25340,98,-24906,103,-24906,-24906,-24480,-24906,-24906,-24906,-24480,-24692,-24480,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25122,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25340,-24906,-24906,-24480,-24692,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-24906,-25122,-24906,-24906,-24906,-24692,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
6,107,-24692,102,-24906,-25340,-24906,-24906,-25122,-25340,-24906,-24906,-24692,-26002,-25122,-24906,-24906,-24906,-25122,124,-24906,85,-27139,-23036,-24269,-24906,-24906,-24906,-24906,-24906,-24059,-26452,-26679,-23237,-24906,-24906,-25122,-24906,-25122,-24059,-25559,-25340,-24692,-24906,-24906,-24906,-24906,-25340,-24692,-26679,-25559,-24692,-24906,-24906,-24906,-24906,-25340,-25340,-27372,-24480,-24480,-24906,-24906,-24906,-24906,-24906,-24480,-26908,-24480,-24906,-24906,-24906,-24906,-25340,-25340,-26226,-26002,-22637,-23036,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
7,108,-24906,109,-25122,-25779,-25340,-24906,-25122,-25340,-24692,-24906,-23440,-25559,-26002,-25340,-24906,-24906,-25340,123,-24906,70,-27139,-25779,-23851,-24059,-24906,-24480,-24906,-24906,-23851,-25340,-26002,-21666,-24059,-24906,-24906,-24906,-24906,-25122,-24480,-26452,-25122,-24480,-24906,-24906,-24906,-24906,-25340,-26226,-26679,-23851,-24692,-24906,-24906,-24906,-25122,-25340,-29049,-25559,-23036,-24692,-24906,-24906,-24906,-24906,-25122,-28561,-25779,-23645,-24906,-24906,-24906,-25122,-25340,-24906,-26452,-24059,-15117,-21857,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
8,107,-24480,115,-25122,-26226,-25779,-24059,-25122,-25340,-24906,-24906,-24692,-24906,-25559,-25340,-24906,-24906,-24906,122,-24906,102,-26908,-25340,-23440,-24906,-24906,-24906,-24906,-24906,-24480,-24906,-25779,-20916,-23237,-24906,-24906,-24906,-24906,-24906,-24059,-26452,-25122,-23645,-24906,-24906,-24906,-24906,-25340,-26002,-26908,-24269,-24059,-24906,-24906,-24906,-24906,-25340,-28561,-26002,-20549,-24480,-24906,-24906,-24906,-24906,-25122,-28319,-25559,-23440,-24906,-24906,-24906,-24906,-25122,-24906,-26226,-24480,-13908,-20368,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
9,107,-24692,114,-25122,-25340,-25340,-24906,-25122,-25340,-24906,-24906,-24906,-25779,-25779,-24480,-24906,-24906,-24906,124,-24906,102,-27606,-25779,-24906,-24480,-24906,-24906,-24906,-24906,-24692,-26679,-25779,-22440,-23645,-24906,-24906,-24906,-24906,-23851,-25559,-27139,-25122,-24692,-24906,-24906,-24906,-25340,-25559,-27372,-27139,-23237,-24906,-24906,-24906,-24906,-25122,-25559,-29049,-24906,-23851,-24906,-24906,-24906,-24906,-24906,-24906,-28561,-24692,-24480,-24906,-24906,-24906,-25340,-25340,-25340,-26226,-22835,-19310,-24906,-24906,-24906,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
