,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80
10,5,-24906,13,-24692,-25122,-21101,-24480,-24906,-24906,-24480,-24480,-24480,-25122,-25559,-24480,-23645,-24692,-24906,-1,-24906,4,-25779,-26002,-23237,-23036,-24480,-24480,-24480,-24692,-24269,-24692,-25779,-21666,-22050,-24480,-24906,-24480,-24480,-23851,-18300,-26452,-16871,-17336,-24480,-24480,-24906,-24480,-24692,-23440,-16417,-5306,-17180,-24480,-20189,-24480,-24906,-24480,-24480,-24269,-14841,-11083,-24480,-22637,-24480,-24906,-24906,-24906,-24692,-19483,5,-16120,-23645,-24480,-24906,-24906,-24692,-24059,46,88,3,-13149,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
11,5,-24906,10,-24906,-25122,-24269,-24480,-24906,-24906,-24480,-24480,-24269,-25779,-25340,-24692,-24059,-24480,-24906,5,-24906,5,-25340,-26002,-24269,-24269,-24480,-24480,-24480,-24906,-24480,-25122,-26002,-22440,-24059,-24480,-24906,-24480,-24480,-23851,-22835,-27139,-21288,-24480,-24480,-24480,-24906,-24480,-25122,-22440,-25559,-18136,-24692,-24480,-23440,-24480,-24906,-24480,-25340,-23645,-20010,-24480,-24480,-24906,-24480,-24692,-24480,-26226,-24269,-16718,-22835,-24906,-24906,-24480,-24906,-24906,-24906,-21101,-172,-3502,-24480,-24692,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
12,-1,-24906,6,-24480,-24692,-24692,-24480,-24906,-24906,-24480,-24480,-24480,-24906,-25559,-24906,-24480,-24480,-24480,14,-24906,5,-24480,-25340,-24480,-24480,-24480,-24480,-24480,-24906,-24480,-24059,-25122,-24269,-23440,-24480,-24906,-24480,-24480,-24906,-24480,-24480,-24692,-22835,-24480,-24480,-24906,-24480,-24906,-25122,-24480,-24480,-23440,-24480,-24480,-24480,-24906,-24480,-24906,-25122,-23851,-22835,-23440,-24692,-24480,-24692,-24480,-24692,-24906,-24480,-23036,-24480,-24692,-24480,-24906,-24906,-24906,-24480,-24692,-20189,-16718,-22244,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
13,-47,-24906,17,-24480,-24480,-24692,-24480,-24906,-24906,-24480,-24480,-24480,-24906,-24480,-24906,-24480,-24480,-24480,7,-24692,5,-24480,-24906,-24906,-24906,-24480,-24480,-24480,-24906,-24480,-24480,-26226,-24480,-24906,-24480,-24906,-24480,-24480,-24906,-24480,-24480,-24480,-24480,-24480,-24480,-24480,-24480,-24906,-25340,-24480,-24480,-24480,-24480,-24480,-24480,-24480,-24480,-26002,-25779,-24480,-24269,-24480,-24906,-24480,-24480,-24692,-25779,-25559,-24480,-24269,-24906,-24906,-24480,-24692,-24692,-24906,-25122,-24692,-24059,-24692,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
14,5,-24906,17,-24906,-25122,-23851,-24480,-24906,-24906,-24480,-24480,-24480,-25122,-25122,-24269,-24480,-24480,-24692,5,-24906,5,-26002,-25340,-24480,-24906,-24480,-24480,-24480,-24906,-24480,-24906,-27139,-23645,-24906,-24480,-24906,-24480,-24906,-24692,-20368,-25122,-21857,-24480,-24480,-24480,-24480,-24480,-24480,-22835,-18465,-11964,-24906,-24480,-22244,-24480,-24480,-24480,-24480,-23440,-11627,-23237,-24480,-24692,-24480,-24480,-24480,-25340,-24692,-16268,-10161,-24906,-24480,-24480,-24480,-24480,-24480,-24692,-115,-16,-23440,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
15,5,-24480,14,-24906,-24906,-21857,-17336,-24906,-24906,-24480,-24480,-24059,-24906,-26226,-24692,-20189,-24480,-24480,5,-24480,8,-24906,-25779,-24480,-17494,-24480,-24480,-24480,-24906,-23036,-25779,-27842,-21666,-4615,-24480,-24906,-24480,-24480,-24059,-18300,-27372,-22050,44,-24480,-24480,-24480,-24480,-24906,-18968,-15683,-4716,31,-24480,-19657,-24480,-24480,-24480,-25340,-18136,-33,8,-24480,-9034,-24480,-24480,-24480,-24480,-24059,-6020,-132,-24269,-24480,-24480,-24480,-24480,-24480,-25559,-9397,92,5,-11850,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
16,5,-24906,9,-25340,-24906,-22835,-24480,-24906,-24906,-24480,-24480,-24480,-25559,-25340,-24059,-24480,-24480,-24480,5,-24480,9,-25779,-26002,-23237,-24480,-24480,-24480,-24480,-24906,-24480,-24692,-27606,-22440,-23440,-24480,-24906,-24480,-24480,-24059,-21666,-27372,-24480,-23645,-24480,-24480,-24480,-24480,-24480,-25340,-24906,-22835,-24059,-24480,-24059,-24480,-24480,-24480,-26226,-25122,-20368,-23645,-24480,-24906,-24480,-24480,-24480,-26002,-24906,-22440,-18968,-24906,-24480,-24480,-24906,-24480,-24480,-24269,-7624,-5958,-20732,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
17,4,-24906,18,-24906,-24269,-22440,-24480,-24906,-24906,-24480,-24269,-24269,-24480,-24906,-24692,-24480,-24480,-24480,4,-24906,8,-24480,-25122,-24269,-24692,-24269,-24480,-24480,-24906,-24269,-24480,-26679,-22050,-23851,-23851,-24906,-24480,-24480,-21857,-19833,-25779,-23237,-15828,-24480,-24269,-24480,-24480,-24480,-13908,-14978,-8683,-10768,-24480,-21477,-24480,-24480,-24480,-23645,-15540,-3787,-14169,-24480,-23440,-24480,-24480,-24480,-24480,-22835,-6957,-16871,-24906,-24480,-24480,-24480,-24480,-24480,-24906,-505,-11,-21477,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
18,5,-24480,32,-24692,-25559,-24059,-24480,-24906,-24906,-24480,-24480,-24480,-24906,-25340,-23036,-24480,-24480,-24692,5,-24480,10,-25340,-25559,-20732,-24906,-24480,-24480,-24480,-22637,-24480,-23237,-25122,-6816,-24480,-24480,-24906,-24480,-25122,-24480,-19657,-22637,-18300,-24480,-24480,-23851,-24480,-24480,-23851,-18968,-7396,-8428,-24906,-24480,-21101,-24480,-24480,-24480,-22835,-15398,-8598,-24480,-24480,-24906,-24480,-24480,-24480,-24480,-21101,-10161,-9214,-24906,-24480,-24480,-24480,-24480,-24269,-239,74,5,-24059,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
19,10,-24906,18,-24059,-25122,-22835,-24059,-24906,-24906,-24269,-24480,-24059,-25122,-24906,-22244,-23851,-24480,-24480,9,-24692,12,-24906,-26002,-21857,-24906,-24480,-24480,-24480,-24692,-20916,-24692,-27139,-2224,-23851,-24480,-24906,-24269,-24480,-21477,-20732,-26002,5,-23851,-24480,-24480,-24480,-24480,-21857,-7858,-11516,18,-24269,-24480,-6677,-24480,-24480,-25122,-12193,-298,36,-24480,-24059,-24906,-24480,-24480,-24480,-20368,-8262,7,-15540,-24906,-24480,-25340,-24269,-24480,-25340,-17974,98,11,-24480,-24480,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
