,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,673,502,547,577,696,555,632,667,556,457,620,617,539,663,607,729,599,742,564,618,585,588,627,692,667,452,432,646,603,607,655,383,360,514,990,1012,1022,1009,1009,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,976,959,1017,1004,1003,917,986,982,981
1,673,502,547,575,697,555,632,666,556,456,622,617,539,664,607,728,599,742,565,619,584,590,630,692,668,453,432,646,591,596,654,383,359,514,989,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1006,1006,1020,980,1013,996,1013,1019,1009,1010,1004,1022,1016,1017,1012,1010,976,958,1017,1004,1003,917,986,982,981
2,675,502,546,576,695,556,631,665,555,458,620,617,537,664,606,728,600,744,564,619,586,590,630,692,667,453,431,646,602,607,653,383,361,514,989,1012,1023,1010,1010,1013,1022,1007,1008,1020,1011,1023,1012,1011,1015,1023,1003,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,976,956,1017,1004,1003,916,986,982,981
3,674,503,546,575,698,556,631,666,555,458,621,616,539,664,604,729,601,744,564,617,585,589,628,692,668,453,431,646,602,606,654,384,361,513,989,1012,1022,1010,1010,1013,1021,1007,1007,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1016,1012,1009,975,958,1017,1004,1003,917,986,982,981
4,673,505,547,575,696,556,632,666,556,457,621,617,539,664,606,728,601,743,565,619,586,589,629,693,667,453,432,645,602,607,654,385,361,514,988,1011,1022,1009,1009,1013,1021,1007,1008,1020,1011,1023,1013,1012,1016,1023,1004,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,995,1013,1019,1009,1010,1004,1022,1016,1016,1012,1010,976,958,1017,1004,1003,917,986,982,981
5,675,501,546,576,697,555,631,667,555,456,620,618,538,662,606,729,599,742,565,618,585,588,628,693,667,453,432,646,603,606,657,384,360,513,989,1012,1022,1010,1010,1013,1022,1007,1008,1020,1011,1023,1012,1012,1016,1023,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1016,1017,1012,1010,976,958,1017,1004,1003,917,986,982,981
6,673,501,546,577,697,555,631,666,554,455,620,617,539,663,606,729,601,742,566,618,584,588,628,693,668,453,432,646,603,607,654,385,360,514,989,1012,1023,1010,1010,1013,1021,1007,1008,1020,1011,1023,1013,1012,1016,1023,1005,1019,1009,1018,1023,1010,1007,1007,1021,982,1014,996,1013,1019,1009,1010,1004,1022,1017,1016,1012,1009,973,956,1017,1003,1002,913,985,982,981
