,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,color_0,color_1,color_2,color_3,color_4,color_5,color_6,color_7,color_8,color_9,color_10,color_11,color_12,color_13,color_14,color_15,color_16,color_17,color_18,color_19,color_20,color_21,color_22,color_23,color_24,color_25,color_26,color_27,color_28,color_29,color_30,color_31,color_32,color_33,color_34,color_35,color_36,color_37,color_38,color_39,color_40,color_41,color_42,color_43,color_44,color_45,color_46,color_47,color_48,color_49,color_50,color_51,color_52,color_53,color_54,color_55,color_56,color_57,color_58,color_59,color_60,color_61,color_62,color_63,color_64,color_65,color_66,color_67,color_68,color_69,color_70,color_71,color_72,color_73,color_74,color_75,color_76,color_77,color_78,color_79,color_80
0,-578,-818,4,-51,0,3,-632,4,3,24,-189,-288,4,-19,5,-42,5,5,-10161,-24,-1,5,12,7,-145,19,28,-2418,-13,5,-182,6,5,23,9,8,-15973,-2721,19,5,6,-308,34,5,25,-15398,-12078,-1807,-269,-115,-22,2,5,-219,-7547,14,-1476,-1,9,-28,25,-8,61,4,39,-39,-632,19,16,33,16,16,11,-1807,-1231,8,-4003,-578,-1719,-14,-413,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
1,-5896,-1945,8,11,-140,14,5,8,38,-62,-219,-329,24,-243,21,-8,4,-497,-9583,5,7,29,-752,-400,-2596,23,44,-11190,-3347,19,7,5,-25,5,13,17,-3462,-7,5,-468,10,-928,42,48,20,-1349,-1367,-5,24,4,30,2,5,-763,-42,0,5,8,5,-12,21,-179,37,-2985,42,-13,-99,-186,-513,13,25,-340,-967,-2224,-5419,-941,-842,-10768,-763,-5084,-64,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
2,4,21,31,9,8,0,-93,10,11,-4,-545,17,8,6,-2043,16,-119,4,5,-226,0,34,-28,-7779,-28,15,5,-5773,-49,5,15,-85,-3,49,8,4,-3663,-68,30,-33,5,5,20,11,5,-54,-49,5,42,5,5,4,7,-95,11,8,-101,33,42,-6,-59,-2093,-115,-137,5,35,-28,-56,-169,-1,-7858,23,-3,5,-19,-1554,-2305,-9583,-1049,-2305,-3198,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b
